Aldiko Book Reader,02+,?,?,?,No,No,Yes,No,No,No,No,No,Yes,No,?,?,?
AlReader,09+,?,?,?,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Bookari,02+,?,?,?,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
Cool Reader,07+,?,?,?,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
EBookDroid,05+,?,?,?,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,?,?,?
Ebook Reader[5],02+,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
eReader Prestigio[6],09+,?,?,?,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,?
ezPDF Reader,04+,?,?,?,No,No,Yes,No,Yes,No,No,No,Yes,Yes,?,?,?
FBReader [7],11+,?,?,?,No,Plugin[8],Yes,Yes,Yes,Yes,Yes,Yes,Plugin[9],Yes,Yes,No,Yes
Google Play Books,02+,?,?,?,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
iReader,02+,?,?,?,?,?,Yes,?,Yes,Yes,?,?,?,Yes,?,?,?
Kindle,02+,?,?,?,No,No,No,No,No,Yes,No,No,Yes,Yes,?,?,?
KOReader,12+,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,?,Yes
Kobo Books,05+,?,?,?,No,No,Yes,No,Yes,No,No,Yes,No,Yes,?,?,?
Lektz eBook Reader,02+,?,?,?,No,No,Yes,No,No,No,No,No,Yes,No,?,?,?
Librera[10],13,Yes,Yes,?,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Moon+ reader Pro,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
MReader[11],10+,?,?,?,No,No,Yes,No,No,No,No,No,No,No,No,No,No
PocketBook,07+,?,?,?,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
Snapplify,07+,?,?,?,No,No,Yes,No,Yes,No,No,No,Yes,Yes,?,?,?
Socio eReader,01+,?,?,?,No,No,Yes,No,No,No,No,No,No,No,?,?,?

