Soviet Union (now under Kazakhstan),Baikonur Cosmodrome,Satellite launch pad,The first satellite"""" Sputnik 1"""" was launched.
Japan,Ohsumi,Satellite,The smallest satellite launch vehicle (L-4S; 9.4t weight"""" 1.4m diameter)
Japan,Taiyo,Solar probe,
China,FSW-0,Satellite recovery[51],
China,FSW-0: – 10m (1975) FSW-1B: – 4m (1992)[52] Beidou: – 0.5m (till 2007)[53],High resolution imaging satellite,
Indonesia,Palapa A1,Geosynchronous satellite (launched by NASA),
Japan,N-I,Geosynchronous launch,
Japan,Hakucho,Space observatory,
Vietnam,Ph?m Tuân,Asian in space (Soyuz 37),
China,FB-1,Simultaneous satellite launch[54],
Japan,Sakigake,Leaving Earth orbit,The first interplanetary launch by solid rocket (M-3SII)
Japan,Hagoromo,Reach lunar orbit (assumed),
China,CZ-3,Commercial launch (AsiaSat 1),
Japan,Hiten,Intentional lunar impact,The first aerobraking test[55]
Japan,Chiaki Mukai,Asian woman in space (STS-65),
Japan,Takao Doi,Spacework (STS-87),
Japan,ETS-VII,Rendezvous docking,
Japan,Nozomi,Martian mission (Failure),
China,Beidou,Satellite navigation system,
Japan,Kodama[56],Data relay satellite (with ESA),
China,Yang Liwei,First man in space launched by an Asian space program,
China,Shenzhou 5,Manned spacecraft,
Japan,Hayabusa,Soft-landed probe on extraterrestrial object,The first asteroid ascent"""" sample return from an asteroid
China,FY-1C,ASAT test,Highest in history with altitude 865 km"""" also the fastest with speed 18k miles
Japan,WINDS,Internet satellite,The fastest internet satellite[57]
Japan,Japanese Experiment Module,Manned foundations in space (STS-123"""" STS-124"""" STS-127),The world's largest pressurized volume in space[58]
China,Tianlian I,Indigenous Tracking & Data Relay Satellite System First TDRS system to support manned missions,
China,Zhai Zhigang (Shenzhou 7),Indigenous EVA,
China,BanXing,Manned spacecraft-launched satellite,
India,Moon Impact Probe,Probe designed for Lunar impact,Discovered water on the Moon before impact.[59][60]
Japan,GOSAT,Greenhouse gas explorer[61],
Japan,Akatsuki,First Asian Venus mission,
Japan,IKAROS,Solar sail,The first spacecraft to successfully demonstrate solar-sail technology in interplanetary space
China,Chang'e 2,Lunar probe with extended deep space missions (asteroid mission to 4179 Toutatis).,
China,Tiangong-1,First Asian Space station,
China,Shenzhou 9,First manned space docking by an Asian country (with Tiangong-1),
China,Chang'e 3/Yutu,First lunar soft landing and lunar rover by an Asian country.,
India,Mars Orbiter Mission,First successful Mars mission by an Asian country,First Martian mission by a country to succeed on the first attempt. Third country to do so after the USSR and the USA.
India,PSLV-C37,First to successfully launch and deploy 104 satellites simultaneously from a single rocket (PSLV -C37).[62][63],First country in the world to launch more than 100 satellites at one go.
China,Chang'e 4,First soft landing on the far side of the Moon,First soft landing on the far side of the Moon by any country. Landed with Yutu-2 rover.
