Provider, Win.{{ref|1|1}}, Linux{{ref|1|1}}, Mac{{ref|1|1}}, Android{{ref|1|1}}, iOS{{ref|1|1}}, Encrypted storage, Zero knowledge{{ref|2|2}}, Secure Key Management{{ref|3|3}}[1], Limited MB plan{{ref|4|4}}, Unlimited MB plan{{ref|4|4}}, $/MB plan{{ref|4|4}}, Unlimited BW {{ref|16|16}}, Provider, Cloud hosted Net Drive{{ref|5|5}}, Sync{{ref|7|7}}, Autodetect changes{{ref|12|12}}, Public file hosting{{ref|8|8}}, physical media restore{{ref|9|9}}, Server location(s){{ref|10|10}}, Free online storage (non-trial){{ref|13|13}}, Maximum per-file size, External hard drive support{{ref|14|14}}, Hybrid Option{{ref|15|15}}, Green Hosting, OpenSaaS
Acronis, {{yes}}, {{partial|Enterprise only  with limited data}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{Optional}}[2], {{yes}}, {{optional}} (Enterprise), {{yes}} (Only win/mac), {{no}}, {{yes}}, Acronis, {{no}}, {{yes}}, , , , {{USA}}  {{EUR}}, {{no}}, {{yes|No limit}}, {{yes}}, , , 
Backblaze, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}[3], {{no}}[3] Company must be given passphrase (to private key) to restore any data., No, {{no}}, {{yes}}, {{no}}, {{yes}}, Backblaze, , , {{yes}}, {{yes}}, {{yes}}, {{USA}}  {{EUR}}, {{no}}, {{yes|No limit}}, {{yes}}, {{no}}, , 
Barracuda Backup Service, {{yes}}, {{yes}}, {{yes}}, , , {{yes}}[4], {{no}}, ?, {{no}} fee per computer, {{no}}, {{yes}}, , Barracuda Backup Service, {{yes}}{{citation needed|date=June 2014}}, {{yes}}, , {{no}}, {{yes}}, {{USA}}  Canada  APAC  {{EUR}}, {{no}}, , , {{dunno}}, , 
Baidu Cloud, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}[5], {{no}}, ?, {{no}}, {{no}}, {{yes}}, , Baidu, , {{yes}}, {{yes}}, {{yes}}, , {{CHN}}, {{yes | 2 TB }}, {{no | 4 GB (Non-member) 10 GB (Member) 20 GB (Super Member).}} [6], , {{dunno}}, , 
Box, {{yes}}, {{partial|Partial (no offline sync  access through DAV server)[7][8]}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}[9], {{no}}[9], ?, {{yes}}, {{no}}, , , Box, {{yes}}[10], {{yes}}[11], {{yes}}, , , {{USA}}, {{yes|10 GB}}, {{no|250 MB (Free) 5 GB (Paid)}}, , , , 
Carbonite, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{partial}}  optional for Windows only[12], ?, {{yes}} (Business only), {{yes}} (Home only), {{no}}[13], {{yes}} [14], Carbonite, , {{yes}}, {{yes}}, {{yes}}[15], , {{USA}}, {{no}}, {{no|4 GB}}, {{yes}}[16], {{yes}}, , 
CloudBerry Backup, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}[17], {{yes}}[17]{{Failed verification|date=August 2018}}, {{yes}}, , , , {{yes}}, CloudBerry Backup, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, Global, {{no}}, {{yes|No limit}}, {{yes}}, {{yes}}, , 
CloudMe, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}  but 3rd party apps available{{citation needed|date=July 2014}}, , ?, , {{no}}, , {{yes}}, CloudMe, {{yes}}[18], {{yes}}, {{yes}}, , , {{SWE}}, {{yes|3 GB}}, {{no|150 MB (Free Accounts) No limit (Premium Accounts)}}, {{yes|No Limit}}, {{No}}, , 
Comodo Backup, {{yes}}, {{no}}, {{no}}, , , {{yes}}[19], {{no}}, ?, {{yes}}, {{no}}, {{yes}} (5), , Comodo Backup, {{no}}, {{no}}, , {{no}}, , {{USA}}, {{no}}, , , , , 
CrashPlan, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}[20], {{yes}}  except for web restore[21], {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}[22], CrashPlan, {{no}}, {{no}}, {{yes}}[23], {{no}}, {{yes}}, {{USA}}  {{AUS}}[24], {{no}}, {{yes|No Limit}}, {{yes}}[25], {{no}}, , 
