Language, Failsafe I/O
1C:Enterprise, {{yes}}
Ada, {{yes}} (exceptions)
ALGOL, {{yes}} (exceptions or return value depending on function)
AutoHotkey, {{no}} (global ErrorLevel must be explicitly checked)
Bash, {{Optional}}[41]
Ballerina, {{yes}}
Bro, {{yes}}
C, {{no}}[42]
C++, {{Some}} (STL iostreams throw on failure but C APIs like stdio or POSIX do not)[42]
C#, {{yes}}
COBOL, {{no}}
Common Lisp, {{yes}} ("conditions and restarts" system)
D, {{yes}} (throwing on failure) [43]
Eiffel, {{no}} – It actually depends on the library and it is not defined by the language
Erlang, {{yes}}
Fortran, {{yes}}
GLBasic, {{no}} – Will generally cause program to crash
Go, {{yes}} (unless result explicitly ignored)
Gosu, {{yes}}
Harbour, {{yes}}
Haskell, {{yes}}
ISLISP, {{yes}}
Java, {{yes}}
Julia, {{yes}}
Kotlin, {{yes}}
LabVIEW, {{yes}}
Lua, {{no}} (some functions do not warn or throw exceptions)
Mathematica, {{yes}}
Object Pascal, {{some}}
Objective-C, {{yes}} (exceptions)
OCaml, {{yes}} (exceptions)
OpenLisp, {{yes}}
Perl, {{no}}[44]
PHP, {{yes}}
Python, {{yes}}
Raku, {{yes}}
Rebol, {{yes}}
Rexx, {{yes}} (with optional signal on… trap handling)
RPG, {{no}}
Ruby, {{yes}}
Rust, {{yes}} (unless result explicitly ignored)
S, {{unknown}}
Smalltalk, {{yes}}
Scala, {{yes}}[45]
Standard ML, {{yes}}{{citation needed|date=February 2011}}
Swift ? 2.0, {{yes}} (exceptions)
Tcl, {{yes}}
Visual Basic, {{yes}}
Visual Basic .NET, {{yes}}
Visual Prolog, {{yes}}
Wolfram Language, {{yes}}
Xojo, {{yes}}
XPath/XQuery, {{yes}} (exceptions)
Language, Failsafe I/O
