Server, Developed by, Software license, Last stable version, Latest release date
AOLserver, NaviSoft, {{free|Mozilla}}, 4.5.2, 2012-09-19
Apache HTTP Server, Apache Software Foundation, {{free|Apache}}, 2.4.41, 2019-08-14
Apache Tomcat, Apache Software Foundation, {{free|Apache}}, 9.0.21, 2019-06-07
Boa, Jon Nelson and Larry Doolittle, {{free|GNU GPL}}, 0.94.13, 2002-07-30 (discontinued)
Caddy, Matt Holt, {{free|Apache}}, 1.0.0, 2019-04-24
Caudium, The Caudium Group, {{free|GNU GPL}}, 1.4.18, 2012-02-24
Cherokee HTTP Server, Álvaro López Ortega, {{free|GNU GPL}}, 1.2.103, 2013-04-21
GlassFish, "Oracle Corporation (initial code from Sun Microsystems)", {{free|Common Development and Distribution License & GNU General Public License}}, 5.1, 2019-01-28
H2O, Kazuho Oku, {{free|MIT}}, 2.2.6, 2019-08-13
Hiawatha, Hugo Leisink, {{free|GNU GPLv2}}, 10.9, 2019-02-18
HFS, Rejetto, {{free|GNU GPL}}, 2.3i, 2016-06-14
IBM HTTP Server, IBM, {{nonfree}} proprietary, 9.0.0, 2016-03-11
Internet Information Services, Microsoft, {{nonfree}} proprietary, 10.0.17763.1, 2018-10-02
Jetty, Eclipse Foundation, {{free|Apache}}, 9.4.18, 2019-04-29
Jexus, Bing Liu, {{nonfree}} proprietary, 5.5.2, 2014-04-27
lighttpd, Jan Kneschke (Incremental), {{free|BSD variant}}, 1.4.54, 2019-05-27
LiteSpeed Web Server, LiteSpeed Technologies, {{nonfree}} proprietary, 5.3.7, 2019-03-15
Mongoose, Cesanta Software, {{free|GNU GPLv2 / proprietary license}}, 6.14, 2019-03-04
Monkey HTTP Server, Monkey Software, {{free|Apache}}, 1.6.9, 2016-05-04
NaviServer, Various, {{free|Mozilla 1.1}}, 4.99.18, 2019-02-24
NCSA HTTPd, Robert McCool, {{nonfree}} proprietary, 1.5.2a, 1996-10-08
Nginx, NGINX  Inc., {{free|BSD variant}}, 1.16.1, 2019-08-13
OpenLink Virtuoso, OpenLink Software, {{free|GNU GPL and proprietary versions}}, 7.2.5.1, 2018-10-22
Oracle HTTP Server, Oracle Corporation, {{nonfree}} proprietary, 12.1.2, 2014-09-23
Oracle iPlanet Web Server, Oracle Corporation, {{free|BSD}}, 7.0.23, 2016-02-12
Oracle WebLogic Server, Oracle Corporation (formerly BEA Systems), {{nonfree}} proprietary, 12cR3 (12.1.3), 2014-06-26
Resin Open Source, Caucho Technology, {{free|GNU GPLv3 / proprietary license}}, 4.0.57, 2018-07-19
Resin Professional, Caucho Technology, {{nonfree}} proprietary, 4.0.49, 2016-10-19
thttpd, Jef Poskanzer for ACME Laboratories, {{free|BSD variant}}, 2.27, 2014-10-03
TUX web server, Ingo Molnár, {{free|GNU GPL}}, 3.2.6.18, 2006-09-20
Wakanda Server, Wakanda, {{free|GNU AGPLv3 / proprietary license}}, 2.1.0, 2017-07-27
WEBrick, Ruby Community, {{free|Ruby}}, 1.9.3 p286 (Ruby), 2012-10-12
Xitami, iMatix Corporation, {{free|BSD}}, 5.0a0, 2009-02-19
Yaws, Claes Wikström, {{free|BSD variant}}, 2.0.4, 2016-09-22
Zeus Web Server, Zeus Technology, {{nonfree}} proprietary, 4.3r5, 2010-01-13
Zope, Zope Corporation, {{free|Zope}}, 2.13.21, 2013-07-16
Server, Developed by, Software license, Last stable version, Latest release date
